"file","symbol","raw"
"R/nerve_cx.R","S_extract_skeleton_graph","    result <- .Call(""S_extract_skeleton_graph"",                     complex$complex_ptr)      return(result) }"
"R/parameterize_circular_graph.R","S_parameterize_circular_graph","    .Call(""S_parameterize_circular_graph"",           adj.list.0based,           weight.list,           as.logical(use.edge.lengths))   }, error = function(e) {"
"R/partition_graph.R","S_partition_graph","  result <- .Call(""S_partition_graph"",                   adj.list.0,                   weight.list.numeric,                   partition,                   weight.type,"
"R/path_graphs.R","S_create_path_graph_plus","    res <- .Call(""S_create_path_graph_plus"",                  graph.0based,                  edge.lengths,                  h) "
"R/path_graphs.R","S_create_path_graph_series","    res <- .Call(""S_create_path_graph_series"",                  graph.0based,                  edge.lengths,                  as.integer(h.values)) "
"R/path_graphs.R","S_create_path_graph_plm","    res <- .Call(""S_create_path_graph_plm"",                  graph.0based,                  edge.lengths,                  h) "
"R/phate_core.R","S_phate_build_kernel","    res <- .Call(         ""S_phate_build_kernel"",         D,         as.integer(k),         as.numeric(alpha.decay),"
"R/radius_graphs.R","S_adaptive_radius_edges_ann","    out <- .Call(         ""S_adaptive_radius_edges_ann"",         X,         as.integer(k.scale),         as.double(radius.factor),"
"R/random_sampling.R","S_rlaplace","    .Call(""S_rlaplace"",           as.integer(n),           as.double(location),           as.double(scale),           seed)  # Pass seed as-is (NULL or integer vector)"
"R/RcppExports.R","_gflow_rcpp_compute_graph_endpoint_scores","    .Call(`_gflow_rcpp_compute_graph_endpoint_scores`, adj_list, weight_list, layout_3d, scales, neighborhood, q, neighbor_weighting, gaussian_sigma, min_neighborhood_size) }  rcpp_graph_multi_source_support_by_scale <- function(adj_list, weight_list, local_max_by_scale, radius) {     .Call(`_gflow_rcpp_graph_multi_source_support_by_scale`, adj_list, weight_list, local_max_by_scale, radius)"
"R/RcppExports.R","_gflow_rcpp_graph_multi_source_support_by_scale","    .Call(`_gflow_rcpp_graph_multi_source_support_by_scale`, adj_list, weight_list, local_max_by_scale, radius) }  rcpp_graph_greedy_maxima_suppression_by_scale <- function(adj_list, weight_list, local_max_by_scale, score_by_scale, radius) {     .Call(`_gflow_rcpp_graph_greedy_maxima_suppression_by_scale`, adj_list, weight_list, local_max_by_scale, score_by_scale, radius)"
"R/RcppExports.R","_gflow_rcpp_graph_greedy_maxima_suppression_by_scale","    .Call(`_gflow_rcpp_graph_greedy_maxima_suppression_by_scale`, adj_list, weight_list, local_max_by_scale, score_by_scale, radius) }  Rcpp_graph_kernel_smoother <- function(adj, w, y, bandwidth, with_details = FALSE) {     .Call(`_gflow_Rcpp_graph_kernel_smoother`, adj, w, y, bandwidth, with_details)"
"R/RcppExports.R","_gflow_Rcpp_graph_kernel_smoother","    .Call(`_gflow_Rcpp_graph_kernel_smoother`, adj, w, y, bandwidth, with_details) }  #' Kernel local polynomial CV RMSE for ambient coordinates #'"
"R/RcppExports.R","_gflow_rcpp_kernel_local_polynomial_cv_coordinates","    .Call(`_gflow_rcpp_kernel_local_polynomial_cv_coordinates`, X, y, foldid, support_size, degree, kernel) }  #' Kernel local polynomial predictions for ambient coordinates #'"
"R/RcppExports.R","_gflow_rcpp_kernel_local_polynomial_predict_coordinates","    .Call(`_gflow_rcpp_kernel_local_polynomial_predict_coordinates`, X_train, y_train, X_eval, support_size, degree, kernel) }  #' Local PCA chart #'"
"R/RcppExports.R","_gflow_rcpp_local_pca_chart","    .Call(`_gflow_rcpp_local_pca_chart`, X_support, center, chart_dim, center_mode, dim_rule, eigen_tolerance, weights, rebase_to_anchor, orient_basis) }  #' Fully Adaptive Mean Shift with Gradient Field Averaging (C++ engine) #'"
"R/RcppExports.R","_gflow_rcpp_adaptive_mean_shift_gfa","    .Call(`_gflow_rcpp_adaptive_mean_shift_gfa`, X, k, density_k, n_steps, initial_step_size, ikernel, dist_normalization_factor, average_direction_only, momentum, increase_factor, decrease_factor) }  #' kNN-Adaptive Mean Shift with Gradient Field Averaging (C++ engine) #'"
"R/RcppExports.R","_gflow_rcpp_knn_adaptive_mean_shift_gfa","    .Call(`_gflow_rcpp_knn_adaptive_mean_shift_gfa`, X, k, density_k, n_steps, step_size, ikernel, dist_normalization_factor, average_direction_only) }  rcpp_quadform_delaunay_edges_3d <- function(X, qhull_options = ""Qt Qbb Qc"") {     .Call(`_gflow_rcpp_quadform_delaunay_edges_3d`, X, qhull_options)"
"R/RcppExports.R","_gflow_rcpp_quadform_delaunay_edges_3d","    .Call(`_gflow_rcpp_quadform_delaunay_edges_3d`, X, qhull_options) }  rcpp_quadform_edge_lengths <- function(U, V, index_k, coefficients) {     .Call(`_gflow_rcpp_quadform_edge_lengths`, U, V, index_k, coefficients)"
