"function_name","file"
"apply.harmonic.extension","R/gflow_cx_utils.R"
"compare.harmonic.methods","R/gflow_cx_utils.R"
"extract.extrema.subgraphs","R/gflow_cx_utils.R"
"find.hop.distances","R/gflow_cx_utils.R"
"find.vertices.within.hops","R/gflow_cx_utils.R"
"analyze.extrema.distribution","R/gflow_cx.R"
"classify.spurious.extrema","R/gflow_cx.R"
"compare.retained.extrema","R/gflow_cx.R"
"create.gflow.cx","R/gflow_cx.R"
"create.hop.nbhd.extrema.df","R/gflow_cx.R"
"create.hop.nbhd.extrema.df2","R/gflow_cx.R"
"plot_extrema_stability","R/gflow_cx.R"
"print.gflow_cx","R/gflow_cx.R"
"suggest.threshold","R/gflow_cx.R"
"visualize.smoothing.steps","R/gflow_cx.R"
"as_igraph","R/gflow_graph_plot.R"
"compute.layout","R/gflow_graph_plot.R"
"plot.gflow_graph","R/gflow_graph_plot.R"
"construct.gflow.graph","R/gflow_graph.R"
"print.gflow_graph","R/gflow_graph.R"
"print.summary.gflow_graph","R/gflow_graph.R"
"summary.gflow_graph","R/gflow_graph.R"
"compute.cell.vertices","R/gradient_basin_utilities.R"
"extract.cell.trajectory","R/gradient_basin_utilities.R"
"extract.gradient.flow.cells","R/gradient_basin_utilities.R"
"extract.gradient.trajectory","R/gradient_basin_utilities.R"
"extract.vertices.terminating.at","R/gradient_basin_utilities.R"
"filter.cells.by.criteria","R/gradient_basin_utilities.R"
"filter.cells.by.vertex.count","R/gradient_basin_utilities.R"
"identify.gradient.flow.cells","R/gradient_basin_utilities.R"
"is.valid.cell","R/gradient_basin_utilities.R"
"print.gradient_flow_cells","R/gradient_basin_utilities.R"
"summary.gradient_flow_cells","R/gradient_basin_utilities.R"
"calculate.edit.distances","R/graph_edit_distance.R"
"create.distance.plot","R/graph_edit_distance.R"
"graph.edit.distance","R/graph_edit_distance.R"
"load.graph.data","R/graph_edit_distance.R"
"graph.embedding","R/graph_embedding.R"
"plot2D.colored.graph","R/graph_embedding.R"
".build.graph.endpoint.igraph","R/graph_endpoint_geometry.R"
".compute.graph.endpoint.metrics","R/graph_endpoint_geometry.R"
".compute.graph.endpoint.scores.reference","R/graph_endpoint_geometry.R"
".compute.graph.endpoint.support.by.scale","R/graph_endpoint_geometry.R"
".graph.endpoint.neighbor.weights","R/graph_endpoint_geometry.R"
".make.graph.endpoint.aggregate","R/graph_endpoint_geometry.R"
".replace.nonfinite.endpoint.values","R/graph_endpoint_geometry.R"
".resolve.graph.endpoint.scales","R/graph_endpoint_geometry.R"
".select.graph.endpoint.neighborhood","R/graph_endpoint_geometry.R"
".suppress.graph.endpoint.maxima.by.scale","R/graph_endpoint_geometry.R"
".validate.graph.endpoint.inputs","R/graph_endpoint_geometry.R"
".weighted.quantile.endpoint","R/graph_endpoint_geometry.R"
"compute.graph.endpoint.scores","R/graph_endpoint_geometry.R"
"detect.graph.endpoints","R/graph_endpoint_geometry.R"
"create.bi.kNN.chain.graph","R/graph_generators.R"
"create.bipartite.graph","R/graph_generators.R"
"create.chain.graph","R/graph_generators.R"
"create.chain.graph.with.offset","R/graph_generators.R"
"create.circular.graph","R/graph_generators.R"
"create.complete.graph","R/graph_generators.R"
"create.empty.graph","R/graph_generators.R"
"create.star.graph","R/graph_generators.R"
"generate.circle.graph","R/graph_generators.R"
"generate.star.dataset","R/graph_generators.R"
"join.graphs","R/graph_generators.R"
"nerve.graph","R/graph_generators.R"
"plot.star_object","R/graph_generators.R"
".graph.geodesic.fields","R/graph_geodesic_distances.R"
".normalize.graph.geodesic.stage","R/graph_geodesic_distances.R"
".validate.graph.geodesic.payload","R/graph_geodesic_distances.R"
"graph.geodesic.distances","R/graph_geodesic_distances.R"
"compute.graph.gradient.flow","R/graph_gradient_flow_basins.R"
"lmax.basins","R/graph_gradient_flow_basins.R"
"lmin.basins","R/graph_gradient_flow_basins.R"
"set.boundary","R/graph_gradient_flow_basins.R"
